name;addr
Crichton United Methodist Church;WV Highway 20 Rupert WV 25984
New Bethel United Methodist Church;US Highway 19 West Milford WV 26451
Richmond Chapel United Methodist Church;1681 Richmond Chapel Road Victor WV 25938
Mount Vernon United Methodist Church;2951 Buckhannon Road Philippi WV 26416
Kynette;811 ISNER CREEK RD ELKINS WV 26241
Wayside;811 Isner Creek Road Elkins WV 26241
Mt. Zion United Methodist Church;5687 S. Calhoun Hwy. Mount Zion WV 26151
McMillion United Methodist Church;Co Hwy 9/2 / Sunbright Road Williamsburg WV 24991
Bays Chapel United Methodist Church;257 Eastern Star Road NALLEN WV 26680
Asbury United Methodist Church;134 S. Beverly Pike Belington WV 26250
Westside United Methodist Church;104 Talbott Road Belington WV 26250
Monroe Chapel United Methodist Church;352 Bisetown Road Lost Creek WV 26385
Pleasant Hill United Methodist Church;WV Route 16 Grantsville WV 26147
Beech Valley United Methodist Church;HC 68 Box 15 Grantsville WV 26147
Knotts Memorial United Methodist Church;329 Main St Grantsville WV 26147
West Milford United Methodist Church;840 Main St. West Milford WV 26451
Stringtown United Methodist Church;Stringtown Rd & Hunter Fork Road Belington WV 26250
Shady Grove United Methodist Church;2948 Stringtown Road Hico WV 25854
Elk City United Methodist Church;Route 57 & Scales Rd Philippi WV 26416
Chestnut Grove United Methodist Church;2759 Chestnut Grove Road NALLEN WV 26680
Mt. Hermon United Methodist;Rt 219 Renick WV 24966
Big Isaac United Methodist Church;4038 Big Isaac Road Salem WV 26426
Corley United Methodist Church;10842 Barbour County Highway Belington WV 26250
Burnt House United Methodist Church;WV-47 E Smithville WV 26178
Walker United Methodist Church;WV-16 & CR-4/Yellow Creek Big Springs WV 26137
Meadow Valley United Methodist Church;Turtletree Fork Road Salem WV 26426
Mount Clare United Methodist Church;WV Highway 25 Mount Clare WV 26408
Sugar Creek United Methodist Church;300 Shockey School Road Belington WV 26250
Keffer United Methodist Church;WV-50 / Linder Hill Rd Looneyville WV 25259
Louisa Chapel United Methodist Church;Route 33 & 119 P.O. Box 105 Arnoldsburg WV 25234
Andrew Chapel United Methodist Church;441 Williamsburg Road Williamsburg WV 24991
Mt Zion United Methodist Church;5139 Sinclair Rd Moatsville WV 26405
Mansfield United Methodist Church;90 Cole  Street Philippi WV 26416
Mt Zion United Methodist Church (Hico);2900 Hawyer Road Victor WV 25938
Quiet Dell United Methodist Church;96 Trinity Road Mount Clare WV 26408
Sycamore United Methodist Church;Sycamore Rd & County Hwy 33/3 Salem WV 26426
Harmony United Methodist Church;2551 Harmony Road Pullman WV 26421
Fairview United Methodist Church;4212 Hazelgreen Rd Harrisville WV 26362
Sims Memorial United Methodist Church;WV-39 & S Swiss Road Swiss WV 26690
Pleasant Valley United Methodist Church;1553 Miletus Road Keyser WV 26726
Samuel Haught;Co Hwy 2506 / Briar Patch Rd. Philippi WV 26416
Berea;RR 2 BOX 87C PHILIPPI WV 26416
Philippi United Methodist Church;115 Mason St (Behind Library) Philippi WV 26416
Crim Memorial United Methodist Church;Pike & Walnut St Philippi WV 26416
Cross Roads United Methodist Church;73 Laurel Creek Road Moatsville WV 26405
Trinity United Methodist Church (Smith Chapel - Trinity Charge);3591 Brushy Fork Road Bridgeport WV 26330
Berea United Methodist Church;352 Otterside Creek Road Elkins WV 26241
Green Hill United Methodist Church;63 Greenhill Lane Monterey VA 24465
Lyda Chapel United Methodist Church;WV-17 / Greenbrier Road Salem WV 26426
Israel United Methodist Church;Israel Church Road Montrose WV 26283
Bascom United Methodist Church;108 Church St Rupert WV 25984
Mt Olive United Methodist Church;4007 Propps Ridge Road Lookout WV 25868
Mountain Grove;180 Grove Lane Warm Springs VA 24484
Wesley Chapel United Methodist Church;40 Carol Hill Road Williamsburg WV 24991
Wesley Memorial Chapel United Methodist Church;WV-19 / Carroll Hill Road Frankford WV 24938
Vincent Memorial;401 Indiana Ave. Clarksburg WV 26301
Victor United Methodist Church;54 Gray Hill Ln Victor WV 25938
Hightown United Methodist Church;164 Dry Bank Road Monterey VA 24465
Liberty United Methodist Church;WV-46 / Vandale Fork Looneyville WV 25259
South Chestnut United Methodist Church;901 South Chestnut Street CLARKSBURG WV 26301
May Chapel United Methodist Church;State Highway 92 White Sulphur Springs WV 24986
Rainelle United Methodist Church;617 Kanawha Ave Rainelle WV 25962
Central Chapel United Methodist Church;107 Central Chapel Road Moatsville WV 26406
Broad Oaks United Methodist Church;349 Haymond Highway  Clarksburg WV 26301
East View United Methodist Church;102 Murray St East View Clarksburg WV 26301
