,name,addr,city,state,lat,lon
443,Grace of Calvary Baptist Church,Erie,PA,16509,42.083553,-80.085636
444,Grand View Baptist Church,Beavercreek,OR,97004,45.287837,-122.53571
445,Grandview Park Baptist Church,Des Moines,IA,50317,41.614141,-93.553756
446,Greater Cumberland Baptist Church,Hopkinsville,KY,42240,36.865765,-87.488953
447,Greater Point Baptist Church,Stevens Point,WI,54481,44.522922,-89.574111
448,Greater Waco Baptist Church,Waco,TX,76705,31.61567,-97.097448
449,Greensboro Baptist Church,Greensboro,NC,27407,36.042456,-79.871126
450,Greenville Baptist Temple,Greenville,OH,45331,40.102391,-84.633299
451,Greenwood Bible Baptist Church,Greenwood,IN,46143,39.599582,-86.10879
452,Griffith Baptist Church,Griffith,IN,46319,41.534507,-87.425531
453,Gulf Coast Baptist Church,Cape Coral,FL,33990,26.630255,-81.949081
454,Hannahstown Road Baptist Church,Cabot,PA,16023,40.764787,-79.76644
455,Harbor Baptist Church,Charlotte,NC,28213,35.285239,-80.751863
456,Harbor Baptist Church,Hainesport,NJ,08036,39.983723,-74.827108
457,Harborcreek Baptist Church,Erie,PA,16510,42.127738,-80.014631
458,Harmony Baptist Church,Waterford,PA,16441,41.942481,-79.984206
459,Hartford Independent Baptist Church,Spencerville,OH,45887,40.708938,-84.353564
460,Harvest Baptist Church,Cincinnati,OH,45238,39.115471,-84.605338
461,Harvest Baptist Church,Fort Dodge,IA,50501,42.497469,-94.168016
462,Harvest Baptist Church,Grass Lake,MI,49240,42.250869,-84.213008
463,Harvest Baptist Church,Greenville,PA,16125,41.404499,-80.391179
464,Open Door Baptist Church,Summit,MS,39666,31.283787,-90.468432
465,Harvest Baptist Church,Lugoff,SC,29078,34.227371,-80.689249
466,Harvest Baptist Church,Manhattan,KS,66502,39.183608,-96.571669
467,Faith Baptist Church,Fredericksburg,VA,22407,38.267486,-77.550865
468,Harvest Baptist Church,New Hartford,CT,06057,41.882319,-72.977049
469,Harvest Baptist Church,Savannah,MO,64485,39.941368,-94.829946
470,Harvest Baptist Church,Stockton,IL,61085,42.349736,-90.006792
471,Harvest Baptist Tabernacle,Jonesboro,GA,30236,33.521501,-84.353813
472,Harvest Baptist Temple,Mackinaw,IL,61755,40.536847,-89.357573
473,Harvest Time Bible Church,Rock Falls,IL,61071,41.779753,-89.688997
474,Haven of Rest Baptist Church,,CT,16074,46.647983,-60.977122
