name,addr,state,lat,lon
Good Shepherd Presbyterian Church,Ocala,FL,29.187199,-82.140092
Grace Community Church,Yulee,FL,30.631903,-81.606487
Grace Community Mission,Lakeland,FL,28.039465,-81.949804
Grace Community Presbyterian Church,Palm  Harbor,FL,28.078072,-82.763713
Grace Covenant Presbyterian Church,Hilliard,FL,30.691068,-81.917333
Grace Presbyterian Church,Palm Coast,FL,29.554143,-81.220767
Grace Presbyterian Church,Madison,FL,38.877911,-77.153221
Grace Presbyterian Church,Stuart,FL,27.197983,-80.251918
Grace Presbyterian Church,Ocala,FL,29.187199,-82.140092
Grace Presbyterian Church,Lake Suzy,FL,27.038113,-82.037032
Grace Redeemer PCA,Crestview,FL,30.762133,-86.570508
Granada Presbyterian Church,Coral Gables,FL,25.72149,-80.268384
Greater Hope Presbyterian Church,Mulberry,FL,27.895304,-81.973417
Hammock Street Church,Boca Raton,FL,26.358689,-80.083098
Harbor Community Church,Bradenton,FL,27.498928,-82.574819
Him Church of Orlando,Orlando,FL,28.542111,-81.37903
Hope Chapel,Miami,FL,25.764993375,-80.1852740625
Immanuel Presbyterian Church,DeLand,FL,29.028321,-81.30311
Kendall Presbyterian Church,Miami,FL,25.764993375,-80.1852740625
Key Biscayne Presbyterian Church,Key Biscayne,FL,25.696835,-80.163526
Kissimmee Fellowship,Orlando,FL,28.542111,-81.37903
Korean Community Church of Ft. Myers,North Ft. Myers,Fl,26.672867,-81.884085
Korean Cornerstone Presbyterian Church of Jacksonville,Jacksonville,FL,30.332184,-81.655651
Korean Cornerstone Presbyterian Church of Tallahassee,Tallahassee,FL,30.438083,-84.280933
Korean Open Church of Tampa Bay,Tampa,FL,27.94776,-82.458444
La Vina,Orlando,FL,28.542111,-81.37903
Lake Baldwin Church,Winter Park,FL,43.766777,11.295204
Lake Nona Presbyterian Church,Orlando,FL,28.542111,-81.37903
Lake Osborne Presbyterian Church,Lake Worth,FL,26.596347,-80.181643
Lighthouse Christian Fellowship,Tamarac,FL,26.212861,-80.249771
Marco Presbyterian Church,Marco Island,FL,25.936336,-81.715683
McIlwain Memorial Presbyterian Church,Pensacola,FL,30.421309,-87.216915
Melbourne Open Kingdom,Melbourne,FL,28.106471,-80.637151
New City Church,Palm Bay,FL,27.994697,-80.636614
New City Fellowship Church,Hollywood,FL,26.011201,-80.14949
New City Fellowship Church Miami,Miami,FL,25.764993375,-80.1852740625
New Hope Presbyterian Church,Eustis,FL,28.852768,-81.685353
New Life PCA,Minneola,FL,28.574444,-81.746187
New Philadelphia Presbyterian Church,Quincy,FL,30.587195,-84.583262
New Presbyterian Church,Wilton Manors,FL,26.160363,-80.138934
New Song,West Palm Beach,FL,26.715364,-80.053294
NewCity Orlando,Orlando,FL,28.542111,-81.37903
North Ft. Myers Presbyterian Church,North Ft. Myers,FL,26.672867,-81.884085
Northside Presbyterian Church,Melbourne,FL,28.106471,-80.637151
Oak City Mission,Bartow,FL,27.896379,-81.843157
Oak River Presbyterian Church,Bonita Springs,FL,26.339806,-81.778697
Ocala Korean Presbyterian Church,Ocala,FL,29.187199,-82.140092
Old Cutler Presbyterian Church,Palmetto Bay,FL,25.621772,-80.324775
Orangewood Church,Maitland,FL,28.627472,-81.365639
