,name,size,addr,state,link,lat,lon
150,Healing Fountain Apostolic Faith Church,Medium,1019 Sterling Blvd Sheffield,AL,http://www.usachurches.org/church/healing-fountain-apostolic-faith-church.htm,34.753694,-87.693363
151,Bethel Grove Missionary Baptist Church,Medium,3481 County Rd 30Shorter,AL,http://www.usachurches.org/church/bethel-grove-missionary-baptist-church.htm,32.937097,-86.004131
152,Fellowship Assembly of God Church,Small,619 Lee Road 243Smiths Station,AL,http://www.usachurches.org/church/fellowship-assembly-of-god-church.htm,32.489139,-85.108159
153,Friendship Congregational Holiness Church,Medium,200 Lee Rd 386Smiths Station,AL,http://www.usachurches.org/church/friendship-congregational-holiness-church.htm,32.486048,-85.071731
154,Spanish Fort United Methodist Church,Medium,6690 Spanish Fort Blvd Spanish Fort,AL,http://www.usachurches.org/church/spanish-fort-united-methodist-church.htm,30.669521,-87.907683
155,Joyful Noise AOH Church of God,Medium,955 S Hammett Ave Sylacagua,AL,http://www.usachurches.org/church/joyful-noise-aoh-church-of-god.htm,33.150395,-86.263596
156,Heavenly Grace Gospel Word Network Ministries,Small,1103 Nimitz Ave Talladega,AL,http://www.usachurches.org/church/heavenlygracegospelwordnetworkministries.htm,33.461317,-86.07392
157,New Jerusalem Episcopal Church of Jesus,Small,307 N Spring St Talladega,AL,http://www.usachurches.org/church/new-jerusalem-episcopal-church-of-jesus.htm,33.440141,-86.10622
158,Taylor's Grove Congregational Holiness Church,Small,2206 Ashland Hwy Talladega,AL,http://www.usachurches.org/church/taylorsgrovecongregationalholinesschurch.htm,33.413439,-86.060259
159,Helton Road Baptist Church,Small,7500 Helton Rd Theodore,AL,http://www.usachurches.org/church/helton-road-baptist-church.htm,30.568289,-88.218212
160,New Life Church Trussville,Small,6263 Service Rd Trussville,AL,http://www.usachurches.org/church/new-life-church-trussville.htm,33.653237,-86.605537
161,Vineyard Community Church,Medium,541 Black Bears Way Tuscaloosa,AL,http://www.usachurches.org/church/vineyard-community-church-tuscaloosa.htm,33.196457,-87.543518
162,Bible Baptist Church,Medium,200 Bear Creek Rd E Tuscaloosa,AL,http://www.usachurches.org/church/bible-baptist-church-tuscaloosa.htm,33.139195,-87.533638
163,Safe Haven Church,Medium,4250 Old Greensboro Rd Tuscaloosa,AL,http://www.usachurches.org/church/safe-haven-church.htm,33.167945,-87.546731
164,First United Methodist Church of Tuscaloosa,Mega,800 Greensboro Ave Tuscaloosa,AL,http://www.usachurches.org/church/first-united-methodist-church-of-tuscaloosa.htm,33.206711,-87.567061
165,North River Church,Medium,4215 Rice Mine Rd N E Tuscaloosa,AL,http://www.usachurches.org/church/north-river-church.htm,33.256937,-87.514249
166,Tuscaloosa Church of God,Medium,4115 5th Ave Tuscaloosa,AL,http://www.usachurches.org/church/tuscaloosa-church-of-god.htm,33.168876,-87.541505
167,Spring Valley Church of Christ,Medium,2485 Spring Valley Rd Tuscumbia,AL,http://www.usachurches.org/church/spring-valley-church-of-christ.htm,34.656779,-87.618583
168,"Faith Ministries, PAW",Medium,2516 Motley Ln Tuskegee,AL,http://www.usachurches.org/church/faith-ministries-paw.htm,32.435389,-85.728482
169,New Life Church of God In Christ,Small,1205 W Martin Luther King Hwy Tuskegee,AL,http://www.usachurches.org/church/newlifechurchofgodinchristtuskegee.htm,32.415413,-85.701789
170,Celebration Worship Center,Large,15330 A L-18 Vernon,AL,http://www.usachurches.org/church/full-gospel-worship-center.htm,33.746126,-88.006394
171,First United Methodist Wetumpka,Medium,306 W Tuskeena St Wetumpka,AL,http://www.usachurches.org/church/firstunitedmethodistwetumpka.htm,32.540352,-86.210435
172,Mountain View Baptist Church,Medium,1025 Rifle Range Rd Wetumpka,AL,http://www.usachurches.org/church/mountain-view-baptist-church-wetumpka.htm,32.450494,-86.15582
173,Alexander First Baptist Church,Small,15320 Alexander Rd Alexander,AR,http://www.usachurches.org/church/alexander-first-baptist-church.htm,34.630161,-92.441861
174,Enlarged Heart Christian Fellowship,Small,1130 Valleyside Bend Alma,AR,http://www.usachurches.org/church/enlarged-heart-christian-fellowship.htm,35.538267,-94.204201
175,Blessed Hope Baptist Church,Small,3519 U. S. 71Alma,AR,http://www.usachurches.org/church/blessed-hope-baptist-church-alma.htm,48.06594,20.74918
176,Oak Grove Community Church,Small,180 Oak Grove Rd Amity,AR,http://www.usachurches.org/church/oak-grove-community-church.htm,34.241941,-93.325002
177,Lakeview Baptist Church,Small,1316 Copeland Ridge Rd Arkadelphia,AR,http://www.usachurches.org/church/lakeview-baptist-church-arkadelphia.htm,34.04075,-93.046574
178,St. Matthew's Baptist Church,Medium,208 Blackwell Rd Atkins,AR,http://www.usachurches.org/church/st-matthews-baptist-church-atkins.htm,35.220026,-92.844689
179,Baugh Chapel Baptist Church,Medium,5570 Hwy 319 W Austin,AR,http://www.usachurches.org/church/baugh-chapel-baptist-church.htm,35.05623,-92.033685
180,Remnant Pentecostal Church,Medium,109 E Allison St Austin,AR,http://www.usachurches.org/church/remnant-pentecostal-church.htm,34.998725,-91.980256
