name;addr
Lake Oconee Presbyterian Church;Eatonton,GA
Lakemont Presbyterian Church;Augusta,GA
Lord of Glory Fellowship;Athens,GA
Macon Korean Presbyterian Church;Macon,GA
Midway Presbyterian Church;Powder Springs,GA
Mustard Seed Fellowship;Peachtree Corners,GA
New Church of Atlanta;Peachtree Corners,GA
New City Church;Lawrenceville,GA
New Covenant Presbyterian Church;Richmond Hill,GA
New Life Presbyterian Church;Tifton,GA
North Macon Presbyterian Church;Macon,GA
Northgate Presbyterian Church;Albany,GA
Northside Presbyterian Church;Winder,GA
Oconee Fellowship;Watkinsville,GA
Old Peachtree Presbyterian Church;Duluth,GA
On-Bit Presbyterian Church;Suwanee,GA
Open Door Community Church;Alpharetta,GA
Our Love Presbyterian Church;Suwanee,GA
Parkview Church;Lilburn,GA
Penfield Presbyterian Church;Penfield,GA
Perimeter Church;Johns Creek,GA
Perry Presbyterian Church;Perry,GA
Ponce Presbyterian Church;Atlanta,GA
Providence Presbyterian Church;Harlem,GA
Redeemer Presbyterian Church;Brunswick,GA
Redeemer Presbyterian Church;Evans,GA
Redeemer Presbyterian Church;Athens,GA
Redeemer Valdosta;Valdosta,GA
Redemption Fellowship Presbyterian Church;Fayetteville,GA
Renewal Church Loganville;Loganville,GA
Restoration Presbyterian Church;Dacula,GA
Resurrection Presbyterian Church;Athens,GA
Riverside Community Church;Cartersville,GA
Rock Creek Fellowship;Lookout Mountain,GA
Sae Han Presbyterian Church of Atlanta;Alpharetta,GA
Saebit Korean Presbyterian Church;Newnan,GA
Salem Church;Franklin,GA
Savannah First Korean Presbyterian Church;Bloomingdale,GA
Seven Hills Fellowship;Rome,GA
Siloam Korean Church of Atlanta;Norcross,GA
Smyrna Presbyterian Church;Smyrna,GA
South Liberty Presbyterian Church;Sharon,GA
St. Andrews Presbyterian Church;Americus,GA
St. Andrews Presbyterian Church;Columbus,GA
Strong Tower Fellowship Mission;Macon,GA
The Kirk Presbyterian;Savannah,GA
The Rock Presbyterian Church;Stockbridge,GA
The Vine Community Church;Cumming,GA
Trinity Presbyterian Church;Statesboro,GA
Trinity Presbyterian Church;Covington,GA
Tucker Presbyterian Church;Tucker,GA
Unity Korean Presbyterian Church;Johns Creek,GA
Village Church of East Atlanta;Atlanta,GA
Westminster Japanese Church;Roswell,GA
Westminster Presbyterian Church;Martinez,GA
Westminster Presbyterian Church;Columbus,GA
Westminster Presbyterian Church;Atlanta,GA
Westminster Presbyterian Church;Gainesville,GA
Wheat Mission in Atlanta;Norcross,GA
Hawaii Central Church;Honolulu,HI
Kahikolu Church Kauai;Koloa,HI
The City Church of Honolulu ;Honolulu,HI
Trinity Church Central Oahu;Mililani,HI
Trinity Presbyterian Church;Kailua,HI
Bethany Evangelical & Reformed Church;Ledyard,IA
Colfax Center Presbyterian Church;Holland,IA
Cornerstone Presbyterian Church;Ackley,IA
Grace Reformed Presbyterian Church;Orange City,IA
Hope Evangelical Church;North Liberty,IA
Hospers Presbyterian Church;Hospers,IA
New Life Fellowship Church;Elk Run Heights,IA
One Ancient Hope Presbyterian Church;Iowa City,IA
Redeemer Presbyterian Church;Des Moines,IA
Trinity Presbyterian Church;Cedar Rapids,IA
All Saints Presbyterian Church;Meridian,ID
Boise Presbyterian Mission;Boise,ID
All Souls Presbyterian Church;Champaign-Urbana,IL
Bethel Christian Church (Chicago);Chicago,IL
Bethel Christian Church (Wheeling);Niles,IL
Bethel Presbyterian Church of Chicago;Palatine,IL
Bethel Reformed Presbyterian Church;Sparta,IL
Boulevard Presbyterian Church;Oak Park,IL
Center Grove Presbyterian Church;Edwardsville,IL
Christ Church ;Normal,IL
