name,city,state,attend,denom,lat,lon
Beulah Alliance Church,Edmonton, AB,2400,CMA,53.535411,-113.507996
Centre Street Church,Calgary, AB,7000,EVAN,51.046095,-114.065465
Sherwood Park Alliance Church,Sherwood Park, AB,2000,CMA,53.525696,-113.296631
Crossroads Church,Red Deer County, AB,2000,UNK,52.114167,-113.766111
First Alliance Church,Calgary, AB,3000,CMA,51.046095,-114.065465
Anchorage Baptist Temple,Anchorage, AK,2200,BAPT,61.216313,-149.894852
ChangePoint,Anchorage, AK,3300,NONDENOM,61.216313,-149.894852
Word Alive International Outreach,Oxford, AL,3300,NONDENOM,33.614921,-85.833939
Oakwood College Church,Huntsville, AL,2000,SDA,34.729847,-86.585901
Daystar Family Church,Northport, AL,2200,NONDENOM,33.229298,-87.577129
The Rock Family Worship Center,Huntsville, AL,2500,NONDENOM,34.729847,-86.585901
The Church at Brook Hills,Birmingham, AL,4500,SBC,33.520682,-86.802433
First Baptist Church,Prattville, AL,2500,SBC,32.464025,-86.459697
Ridgecrest Baptist Church,Dothan, AL,2500,SBC,31.223743,-85.393391
Willowbrook Baptist Church,Huntsville, AL,2900,SBC,34.729847,-86.585901
Mayfair Church of Christ,Huntsville, AL,1800,COC,34.729847,-86.585901
Sixth Avenue Baptist Church,Birmingham, AL,2000,BAPT,33.520682,-86.802433
Metro Church of God,Birmingham, AL,2000,COG,33.520682,-86.802433
Frazer United Methodist Church,Montgomery, AL,3704,UMC,32.366966,-86.300649
Hunter Street Baptist Church,Hoover, AL,3320,SBC,33.384893,-86.807048
Daystar Church,Cullman, AL,2000,COG,34.174841,-86.84358
Faith Chapel Christian Center,Birmingham, AL,3000,UNK,33.520682,-86.802433
More Than Conquerors Faith Church,Birmingham, AL,3000,UNK,33.520682,-86.802433
Christ United Methodist Church,Mobile, AL,2095,UMC,30.694357,-88.043054
Whitesburg Baptist Church,Huntsville, AL,2500,SBC,34.729847,-86.585901
Union Chapel MB Church,Huntsville, AL,2000,BAPT,34.729847,-86.585901
Mountaintop Community Church,Birmingham, AL,2000,NONDENOM,33.520682,-86.802433
Calvary Assembly,Decatur, AL,2200,AG,34.60602,-86.983817
Lindsay Lane Baptist Church,Athens, AL,1800,SBC,34.804549,-86.97117
Briarwood Presbyterian Church,Birmingham, AL,3800,PCA,33.520682,-86.802433
The Worship Center Christian Church,Birmingham, AL,2000,NONDENOM,33.520682,-86.802433
Epicchurch.Tv,Decatur, AL,2081,NONDENOM,34.60602,-86.983817
Shades Mountain Baptist Church,Birmingham, AL,2756,SBC,33.520682,-86.802433
First Baptist Church,Tuscaloosa, AL,3000,SBC,33.209561,-87.567526
New Hope Baptist Church,Birmingham, AL,3000,BAPT,33.520682,-86.802433
First Baptist Church,Montgomery, AL,2500,SBC,32.366966,-86.300649
First Baptist Church Opelika,Opelika, AL,2443,SBC,32.645412,-85.37828
Harvest Church of God,Anniston, AL,2000,COG,33.659442,-85.831633
Asbury United Methodist Church,Madison, AL,2500,UMC,34.692873,-86.751143
Kingwood Church,Alabaster, AL,2000,AG,33.244281,-86.816377
Gardendale First Baptist Church,Gardendale, AL,3530,SBC,33.660103,-86.81277
Dawson Memorial Baptist Church,Birmingham, AL,2700,SBC,33.520682,-86.802433
Church of the Highlands,Birmingham, AL,22184,NONDENOM,33.520682,-86.802433
Fellowship Northwest Arkansas,Rogers, AR,7100,UNK,36.33202,-94.118537
Central Baptist Church,Jonesboro, AR,2604,SBC,35.842865,-90.703452
First Baptist Church,Bentonville, AR,2200,SBC,36.372854,-94.208817
Family Church,Pine Bluff, AR,2000,NONDENOM,34.215706,-92.01404
Central Baptist Church,Marked Tree, AR,2300,SBC,35.532859,-90.420658
Immanuel Baptist Church,Little Rock, AR,2500,BAPT,34.746481,-92.289595
Cross Church,Springdale, AR,8808,SBC,36.186744,-94.128814
Fellowship Bible Church,Benton, AR,6000,NONDENOM,34.564537,-92.586828
